id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
299,,ARB/11/14,"Diamond Fields Liberia, Inc. v. Republic of Liberia  (ICSID Case No. ARB/11/14)","","Diamond Fields Liberia, Inc.","Oil, Gas & Mining","",Contract,,LBR,ICSID Convention - Arbitration Rules,"",Concluded,Mineral exploration operations
300,,ARB/11/13,Rafat Ali Rizvi v. Republic of Indonesia (ICSID Case No. ARB/11/13),"",Rafat Ali Rizvi,Finance,BIT Indonesia - United Kingdom of Great Britain and Northern Ireland 1976,"",,IDN,ICSID Convention - Arbitration Rules,"",Concluded,Banking enterprise
296,,ARB/11/17,Renée Rose Levy and Gremcitel S.A. v. Republic of Peru (ICSID Case No. ARB/11/17),"",Renée Rose Levy and Gremcitel S.A.,Construction,BIT France - Peru 1993,"",,PER,ICSID Convention - Arbitration Rules,"",Concluded,Property development project
297,,ARB/11/16,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E. v. Arab Republic of Egypt (ICSID Case No. ARB/11/16)","","Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E.",Tourism,"BIT Egypt,  Arab Republic of - United Arab Emirates 1997","",,EGY,ICSID Convention - Arbitration Rules,"",Concluded,Property development projects
295,,ARB/11/18,Burimi SRL and Eagle Games SH.A v. Republic of Albania  (ICSID Case No. ARB/11/18),"",Burimi SRL and Eagle Games SH.A,Other Industry,BIT Albania - Italy 1991,Investment Law - Albania (1993),,ALB,ICSID Convention - Arbitration Rules,"",Concluded,Gaming industry
294,,ARB/11/19,Koch Minerals Sàrl and Koch Nitrogen International Sàrl v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/11/19),"",Koch Minerals Sàrl and Koch Nitrogen International Sàrl,Other Industry,"BIT Venezuela,  Republica Bolivariana de - Switzerland 1993","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,Construction and operation of fertilizer plant
293,,ARB/11/20,Garanti Koza LLP v. Turkmenistan (ICSID Case No. ARB/11/20),"",Garanti Koza LLP,Transportation,"BIT Turkmenistan - Turkey 1992, BIT United Kingdom of Great Britain and Northern Ireland - Turkmenistan 1995","",,TKM,ICSID Convention - Arbitration Rules,"",Concluded,Construction project
292,,ARB/11/21,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company v. Republic of Peru (ICSID Case No. ARB/11/21)","","DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company",Transportation,BIT Peru - United Kingdom of Great Britain and Northern Ireland 1993,Contract,,PER,ICSID Convention - Arbitration Rules,"",Pending,Pier concession agreement
290,,ARB/11/23,Franck Charles Arif v. Republic of Moldova (ICSID Case No. ARB/11/23),"",Franck Charles Arif,Services & Trade,BIT France - Moldova 1997,"",,MDA,ICSID Convention - Arbitration Rules,"",Concluded,Duty free concessions
288,,ARB/11/24,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A.  v. Republic of Albania (ICSID Case No. ARB/11/24),"",Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A.,"Oil, Gas & Mining",BIT Greece - Albania 1991,"",,ALB,ICSID Convention - Arbitration Rules,"",Concluded,Oil storage and distribution project
301,,ARB(AF)/11/2,Crystallex International Corporation v. Bolivarian Republic of Venezuela (ICSID Case No. ARB(AF)/11/2),"",Crystallex International Corporation,"Oil, Gas & Mining","BIT Canada - Venezuela,  Republica Bolivariana de 1996","",,VEN,ICSID Additional Facility - Arbitration Rules,"Washington, D.C.",Concluded, Mining company
289,,ARB/11/14,"Diamond Fields Liberia, Inc. v. Republic of Liberia  (ICSID Case No. ARB/11/14)","","Diamond Fields Liberia, Inc.","Oil, Gas & Mining","",Contract,,LBR,ICSID Convention - Arbitration Rules,"",Concluded,Mineral exploration operations
281,,ARB(AF)/11/4,Mobile TeleSystems OJSC v. Turkmenistan (ICSID Case No. ARB(AF)/11/4),"",Mobile TeleSystems OJSC,Information & Communication,BIT Russian Federation - Turkmenistan 2009,"",,TKM,ICSID Additional Facility - Arbitration Rules,"Paris, France",Concluded,Telecommunications enterprise
285,,ARB/11/25,OI European Group B.V. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/11/25),"",OI European Group B.V.,Other Industry,"BIT Netherlands - Venezuela,  Republica Bolivariana de 1991","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,Glass production enterprise
282,,ARB/11/26,Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/11/26),"",Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda.,Other Industry,"BIT Venezuela,  Republica Bolivariana de - Belgium-Luxembourg 1998, BIT Venezuela,  Republica Bolivariana de - Portugal 1994","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,Hot briquetted iron production plant
280,,ARB/11/27,Baggerwerken Decloedt En Zoon NV v. Republic of the Philippines (ICSID Case No. ARB/11/27),"",Baggerwerken Decloedt En Zoon NV,Transportation,BIT Philippines - Belgium-Luxembourg 1998,"",,PHL,ICSID Convention - Arbitration Rules,"",Concluded,Dredging operations
278,,ARB/11/28,Tulip Real Estate and Development Netherlands B.V.  v. Republic of Turkey (ICSID Case No. ARB/11/28),"",Tulip Real Estate and Development Netherlands B.V.,Construction,BIT Netherlands - Turkey 1986,"",,TUR,ICSID Convention - Arbitration Rules,"",Concluded,Residential and commercial construction project
275,,ARB/11/30,Hortensia Margarita Shortt v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/11/30),"",Hortensia Margarita Shortt,Transportation,"BIT Venezuela,  Republica Bolivariana de - United Kingdom of Great Britain and Northern Ireland 1995","",,VEN,ICSID Convention - Arbitration Rules,"",Concluded,Maritime transport services
272,,ARB/11/32,Indorama International Finance Limited v. Arab Republic of Egypt (ICSID Case No. ARB/11/32),"",Indorama International Finance Limited,Other Industry,"BIT Egypt,  Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975","",,EGY,ICSID Convention - Arbitration Rules,"",Concluded,Textile enterprise
271,,ARB/11/33,Adel A Hamadi Al Tamimi v. Sultanate of Oman (ICSID Case No. ARB/11/33),"",Adel A Hamadi Al Tamimi,"Oil, Gas & Mining","",FTA Oman – United States of America 2006,,OMN,ICSID Convention - Arbitration Rules,"",Concluded,Limestone quarry
270,,ARB/12/1,Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan (ICSID Case No. ARB/12/1),"",Tethyan Copper Company Pty Limited,"Oil, Gas & Mining",BIT Pakistan - Australia 1998,"",,PAK,ICSID Convention - Arbitration Rules,"",Pending,Mineral exploration operations
